href,quote,rating_num,title
https://movie.douban.com/subject/1292052/,希望让人自由。,9.6,肖申克的救赎
https://movie.douban.com/subject/1291546/,风华绝代。,9.6,霸王别姬
https://movie.douban.com/subject/1295644/,怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
https://movie.douban.com/subject/1292720/,一部美国近现代史。,9.4,阿甘正传
https://movie.douban.com/subject/1292063/,最美的谎言。,9.5,美丽人生
https://movie.douban.com/subject/1292722/,失去的才是永恒的。 ,9.3,泰坦尼克号
https://movie.douban.com/subject/1291561/,最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
https://movie.douban.com/subject/1295124/,拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
https://movie.douban.com/subject/3541415/,诺兰给了我们一场无法盗取的梦。,9.3,盗梦空间
https://movie.douban.com/subject/3011091/,永远都不能忘记你所爱的人。,9.3,忠犬八公的故事
https://movie.douban.com/subject/2131459/,小瓦力，大人生。,9.3,机器人总动员
https://movie.douban.com/subject/3793023/,英俊版憨豆，高情商版谢耳朵。,9.2,三傻大闹宝莱坞
https://movie.douban.com/subject/1292001/,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,海上钢琴师
https://movie.douban.com/subject/1291549/,天籁一般的童声，是最接近上帝的存在。 ,9.3,放牛班的春天
https://movie.douban.com/subject/1292064/,如果再也不能见到你，祝你早安，午安，晚安。,9.2,楚门的世界
https://movie.douban.com/subject/1292213/,一生所爱。,9.2,大话西游之大圣娶亲
https://movie.douban.com/subject/1889243/,爱是一种力量，让我们超越时空感知它的存在。,9.2,星际穿越
https://movie.douban.com/subject/1291560/,人人心中都有个龙猫，童年就永远不会消失。,9.2,龙猫
https://movie.douban.com/subject/1291841/,千万不要记恨你的对手，这样会让你失去理智。,9.2,教父
https://movie.douban.com/subject/5912992/,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,熔炉
https://movie.douban.com/subject/1307914/,香港电影史上永不过时的杰作。,9.1,无间道
https://movie.douban.com/subject/25662329/,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,疯狂动物城
https://movie.douban.com/subject/1849031/,平民励志片。 ,9.0,当幸福来敲门
https://movie.douban.com/subject/3319755/,真正的幸福是来自内心深处。,9.0,怦然心动
https://movie.douban.com/subject/6786002/,满满温情的高雅喜剧。,9.2,触不可及
https://movie.douban.com/subject/1300267/,Tomorrow is another day.,9.2,乱世佳人
https://movie.douban.com/subject/1851857/,无尽的黑暗。,9.1,蝙蝠侠：黑暗骑士
https://movie.douban.com/subject/1292365/,张艺谋最好的电影。,9.2,活着
https://movie.douban.com/subject/1929463/,瑰丽壮观、无人能及的冒险之旅。,9.0,少年派的奇幻漂流
https://movie.douban.com/subject/1296141/,比利·怀德满分作品。,9.6,控方证人
https://movie.douban.com/subject/1291828/,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,天堂电影院
https://movie.douban.com/subject/1291858/,对敌人的仁慈，就是对自己残忍。,9.2,鬼子来了
https://movie.douban.com/subject/1291552/,史诗的终章。,9.1,指环王3：王者无敌
https://movie.douban.com/subject/1293182/,1957年的理想主义。 ,9.4,十二怒汉
https://movie.douban.com/subject/1291583/,对天空的追逐，永不停止。 ,9.1,天空之城
https://movie.douban.com/subject/26387939/,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1,摔跤吧！爸爸
https://movie.douban.com/subject/2129039/,最后那些最无聊的事情，才是最值得怀念的。 ,8.9,飞屋环游记
https://movie.douban.com/subject/1299398/,旷古烁今。,8.9,大话西游之月光宝盒
