author,href,mark,rating_nums,title
[英] J. K. 罗琳 ,https://book.douban.com/subject/2295163/,None,9.0,哈利·波特与死亡圣器
安妮宝贝 ,https://book.douban.com/subject/1529893/,三个生命的交逢，灵魅清冷,8.0,莲花
[美] 伍绮诗 ,https://book.douban.com/subject/26382433/,莉迪亚死了，可他们还不知道,8.2,无声告白
（英）勃朗特 ,https://book.douban.com/subject/1119522/,近乎暴虐的爱与恨，中文译名后无来者,8.4,呼啸山庄
龙应台 ,https://book.douban.com/subject/3369793/,龙应台母子对话，两代人的思想碰撞,8.7,亲爱的安德烈
大仲马 ,https://book.douban.com/subject/1085860/,完美的复仇，金庸用法语写作应该就是这样,9.0,基督山伯爵
陈忠实 ,https://book.douban.com/subject/1085799/,中国乡村史诗,8.7,白鹿原
老舍 ,https://book.douban.com/subject/1043815/,如骆驼喘息般深刻的绝望,8.3,骆驼祥子
[美] 卡勒德·胡赛尼 ,https://book.douban.com/subject/2143732/,唯有希望与爱可以驱散阴霾,8.8,灿烂千阳
[法] 阿尔贝·加缪 ,https://book.douban.com/subject/4908885/,人生在世，永远也不该演戏作假,9.0,局外人
小仲马 ,https://book.douban.com/subject/1013380/,妓女应当拥有爱情吗？,8.2,茶花女
[日] 村上春树 ,https://book.douban.com/subject/1059419/,背负诅咒的少年，平行世界中的奥德赛,8.1,海边的卡夫卡
[奥] 斯台芬·茨威格 ,https://book.douban.com/subject/2154960/,暗恋的极致,8.7,一个陌生女人的来信
金庸 ,https://book.douban.com/subject/1002299/,武侠的壳，政治斗争的核,9.0,笑傲江湖（全四册）
[英] 阿·柯南道尔 ,https://book.douban.com/subject/1040211/,侦探小说鼻祖,9.2,福尔摩斯探案全集（上中下）
余华 ,https://book.douban.com/subject/1401425/,历史苦难中的个人灾变,8.3,兄弟（上）
王小波 ,https://book.douban.com/subject/1054685/,沉默是沉默者的通行证,9.1,沉默的大多数
[美] M·斯科特·派克 ,https://book.douban.com/subject/1775691/,成熟的心智通向更完善的自我,8.4,少有人走的路
菲茨杰拉德 ,https://book.douban.com/subject/1008988/,梦，就像黛西家的那一缕绿光,8.3,了不起的盖茨比
[英] 阿加莎·克里斯蒂 ,https://book.douban.com/subject/1827374/,谋杀诡计惊人，波洛的抉择耐人寻味,9.0,东方快车谋杀案
[日] 岩井俊二 ,https://book.douban.com/subject/1080370/,一场误会中的两段爱情，东方式的含蓄隐忍,8.6,情书
[英] 阿加莎・克里斯蒂 ,https://book.douban.com/subject/3006581/,童谣杀人案,8.9,无人生还
金庸 ,https://book.douban.com/subject/1255624/,至情至性，情大于武,8.9,神雕侠侣
[法]雨果 ,https://book.douban.com/subject/1024197/,潜藏于残缺下的美与崇高,8.3,巴黎圣母院
刘瑜 ,https://book.douban.com/subject/3813669/,公民养成手册,8.6,民主的细节
[美] 斯蒂芬·金 ,https://book.douban.com/subject/1829226/,希望让人自由，电影实在太有名,9.1,肖申克的救赎
[英] 威廉·萨默塞特·毛姆 ,https://book.douban.com/subject/26954760/,满地都是六便士，他却抬头看见了月亮,8.8,月亮与六便士
（法）莫泊桑 ,https://book.douban.com/subject/1205370/,资产阶级的道貌岸然,8.1,羊脂球
鲁迅 ,https://book.douban.com/subject/1449351/,新文学的第一声呐喊,8.9,呐喊
张德芬 ,https://book.douban.com/subject/2340100/,都市灵修速成,8.0,遇见未知的自己
（法）勒庞 ,https://book.douban.com/subject/1012611/,群氓心理剖析,8.2,乌合之众
[英] 乔治·奥威尔 ,https://book.douban.com/subject/2035179/,太阳底下并无新事,9.2,动物农场
王小波 ,https://book.douban.com/subject/3071717/,王小波与李银河的两地书,8.8,爱你就像爱生命
[日] 村上春树 ,https://book.douban.com/subject/3369600/,村上同志告诉我们，身体是革命的本钱,8.2,当我谈跑步时我谈些什么
