amount_of_play,pic_url,timeUp,title,uper
,,,,
4293,https//www.bilibili.com/video/av55863831?from=search&seid=15121855081321316899,2019/6/17,20行python造个稳定器，手把手教你（新手，各领域）就可以用树莓派制作简单的拍摄稳定器,格物创意官方
,,,,
8869,https//www.bilibili.com/video/av55349091?from=search&seid=8126839533671185052,2019/6/12,Python75行代码实现俄罗斯方块游戏-完整代码教程,Tonymot
,,,,
2320,https//www.bilibili.com/video/av57120352?from=search&seid=8126839533671185052,2019/6/28,python突破限制，播放全网任何电影,Python编程爬虫工程师
,,,,
6.3万,https//www.bilibili.com/video/av23592420?from=search&seid=13092381277356556946,2018/5/18,Python爬取淘宝女郎，一起欣赏貌美的淘宝MM！,Python新视界
,,,,
2.9万,https//www.bilibili.com/video/av54046114?from=search&seid=13092381277356556946,2019/5/30,自从小侄子学会python后，从此玩王者农药没差过金币！,轻松学Python
,,,,
1.5万,https//www.bilibili.com/video/av48921588?from=search&seid=15121855081321316899,2019/4/11,Python 项目实战视频教程全集（105P）| 26 小时从入门到精通,Java基基
,,,,
3.2万,https//www.bilibili.com/video/av16944429?from=search&seid=15121855081321316899,2017/12/4,Threading 学会多线程 (莫烦 Python 教程),莫烦Python
,,,,
4.9万,https//www.bilibili.com/video/av51845189?from=search&seid=8126839533671185052,2019/5/8,【一起啃书】Python编程从入门到实践,致敬大神
,,,,
35.1万,https//www.bilibili.com/video/av31697253?from=search&seid=8126839533671185052,2018/9/14,自从学会了Python，我从来不为看什么电影发愁，好看的，付费的，百度不到资源的全部一网打井！,轻松学Python
,,,,
5.5万,https//www.bilibili.com/video/av52160990?from=search&seid=13092381277356556946,2019/5/11,10年老程序员聊 培训机构炒作python号称年薪40万,我是程序汪
,,,,
32.6万,https//www.bilibili.com/video/av27789609?from=search&seid=13092381277356556946,2018/7/26,【Python教程】《零基础入门学习Python》（小甲鱼）,鱼C-小甲鱼
,,,,
5.0万,https//www.bilibili.com/video/av15854659?from=search&seid=15121855081321316899,2017/10/30,【自学教程】4小时Python速成！Google内部培训资料,providence2
,,,,
3.4万,https//www.bilibili.com/video/av34809983?from=search&seid=15121855081321316899,2018/10/28,【中文字幕】写给大家看的Python入门教程（四小时高清完整版）,趣味科普人文
,,,,
1.6万,https//www.bilibili.com/video/av47514807?from=search&seid=8126839533671185052,2019/3/28,Python全栈+爬虫+高端自动化课程,Instagram柒夏
,,,,
3.9万,https//www.bilibili.com/video/av38514576?from=search&seid=8126839533671185052,2018/12/19,10行python代码，急速采集小电影！,Python编程爬虫工程师
,,,,
8329,https//www.bilibili.com/video/av53899775?from=search&seid=13092381277356556946,2019/6/11,Python黑客编程,白帽黑客教程
,,,,
7.6万,https//www.bilibili.com/video/av43395856?from=search&seid=13092381277356556946,2019/2/13,说说为什么我不赞成新人学Python,孙老师非要尬聊
,,,,
5.3万,https//www.bilibili.com/video/av22606568?from=search&seid=15121855081321316899,2018/4/26,Python全栈（老男孩4期）Django框架入门到应用,CatorJ
,,,,
2.6万,https//www.bilibili.com/video/av51299056?from=search&seid=8126839533671185052,2019/5/3,老男孩教育python全栈15期(145天全),保护我方狄仁杰
,,,,
5332,https//www.bilibili.com/video/av56702335?from=search&seid=8126839533671185052,2019/6/24,Python从入门到进阶（适合初学者）(已完结),Champions12
,,,,
2.4万,https//www.bilibili.com/video/av41252838?from=search&seid=13092381277356556946,2019/1/20,全国计算机二级Python科目基础知识教程,悦焱
,,,,
6987,https//www.bilibili.com/video/av54831940?from=search&seid=13092381277356556946,2019/6/7,【用Python处理Excel数据，中文全基础系列教程】,说到做到的橙橙橙
,,,,
8.0万,https//www.bilibili.com/video/av31617063?from=search&seid=8126839533671185052,2018/9/13,七天学会Python，简而精,隔壁家de老刘
,,,,
454,https//www.bilibili.com/video/av58269482?from=search&seid=8126839533671185052,2019/7/8,python爬虫,呼啦啦哔哩哔哩
,,,,
2.4万,https//www.bilibili.com/video/av37497888?from=search&seid=13092381277356556946,2018/12/6,崔庆才python3爬虫入门到精通,weilei_gakki
,,,,
6.1万,https//www.bilibili.com/video/av28123572?from=search&seid=13092381277356556946,2018/7/30,Python400集2018最新版,一剑霜寒拾肆州
,,,,
4145,https//www.bilibili.com/video/av57023791?from=search&seid=8126839533671185052,2019/6/27,【python教程】数据分析——numpy、pandas、matplotlib,luvm的小屋
,,,,
77,https//www.bilibili.com/video/av58358030?from=search&seid=8126839533671185052,2019/7/8,【python入门】老男孩python开发 2019全新合集,老男孩IT-python
,,,,
92,https//www.bilibili.com/video/av58402646?from=search&seid=13092381277356556946,2019/7/9,Python开发简单爬虫,自力更生的小咸鱼
,,,,
9.0万,https//www.bilibili.com/video/av21540971?from=search&seid=13092381277356556946,2018/4/2,python数据结构与算法系列课程,woshigzp
,,,,
2.2万,https//www.bilibili.com/video/av40462646?from=search&seid=8126839533671185052,2019/1/11,利用Python破解WiFi密码，万能钥匙不能破解的，Python只需要3秒钟！,iOS志成
,,,,
1.3万,https//www.bilibili.com/video/av55857574?from=search&seid=8126839533671185052,2019/6/17,2019年python深入浅出进阶教程【黑马程序员】,黑马程序员-
,,,,
671,https//www.bilibili.com/video/av58210266?from=search&seid=13092381277356556946,2019/7/7,利用Python实现国家财政趋势演示！,python数据分析
,,,,
7.9万,https//www.bilibili.com/video/av23687046?from=search&seid=13092381277356556946,2018/5/20,【Python入门课】最容易听懂的 Python 零基础入门课,藤桑TOT
,,,,
4.4万,https//www.bilibili.com/video/av24431072?from=search&seid=8126839533671185052,2018/6/6,Python实用练手小项目（超简单）,轻松学Python
,,,,
5.1万,https//www.bilibili.com/video/av31294714?from=search&seid=8126839533671185052,2018/9/8,【Python】初学者完整教程 (强烈推荐！！),Arc_en_ciel
,,,,
25.5万,https//www.bilibili.com/video/av28148919?from=search&seid=13092381277356556946,2018/7/31,Python 2018最新版,最后一个程序猿
,,,,
4.7万,https//www.bilibili.com/video/av56441061?from=search&seid=13092381277356556946,2019/6/22,【Python最强教学】Python for Everybody 中英双字幕,小美手
,,,,
1.3万,https//www.bilibili.com/video/av56504908?from=search&seid=8126839533671185052,2019/6/23,原价699元的30个小时搞定Python网络爬虫,爱笑的程序狗
,,,,
8.1万,https//www.bilibili.com/video/av33573600?from=search&seid=13092381277356556946,2018/10/10,【Python】2018老男孩 python 全栈第9期130天培训,每日CG教程盘点
